condition,policy,episodes,safe_success_rate,final_success_rate,harmful_contact_rate,late_switch_rate,early_false_switch_rate,mean_impulse,p90_impulse,mean_regret
late_cue,contact_reactive,1800,0.41222,0.48167,0.58778,0.58778,0,0.94969,1.68768,0.76994
late_cue,fixed_nominal,1800,0.24556,0.26389,0.75444,0.75444,0,1.13652,1.68092,0.95551
late_cue,guard_contract,1800,0.33222,0.33944,0.66778,0.66667,0.00111,1.03179,1.66786,0.85115
late_cue,oracle_precontact,1800,1,0.95778,0,0,0,0.18382,0.22461,0.00819
late_cue,posterior_only,1800,0.40611,0.40611,0.59389,0.60944,0.00389,0.94863,1.66836,0.76896
normal,contact_reactive,1800,0.405,0.47889,0.595,0.595,0,0.95453,1.67318,0.77489
normal,fixed_nominal,1800,0.24778,0.275,0.75222,0.75222,0,1.13184,1.6831,0.95084
normal,guard_contract,1800,0.96167,0.92222,0.03833,0.02333,0.02,0.2276,0.22926,0.05234
normal,oracle_precontact,1800,1,0.96,0,0,0,0.18341,0.22184,0.00818
normal,posterior_only,1800,0.96167,0.93167,0.03833,0.02389,0.02056,0.2282,0.22744,0.0524
weak_cue,contact_reactive,1800,0.405,0.47667,0.595,0.595,0,0.95615,1.67803,0.77651
weak_cue,fixed_nominal,1800,0.25778,0.28167,0.74222,0.74222,0,1.12272,1.69722,0.94165
weak_cue,guard_contract,1800,0.71333,0.69556,0.28667,0.26111,0.03556,0.55541,1.59532,0.37841
weak_cue,oracle_precontact,1800,1,0.95778,0,0,0,0.18255,0.22292,0.00781
weak_cue,posterior_only,1800,0.72556,0.70111,0.27444,0.26944,0.01889,0.54903,1.60744,0.37184
